osmid,name,highway,oneway,length,from,to,lanes,service,access,maxspeed,ref,width,junction,bridge,tunnel,u,v,key
"742714351",Rafael Sotomayor,residential,"0",52.030000000000001,"996081786","996081781",,,,,,,,,,"996081781","996081786","0"
"601096536",Tarapacá,secondary,"0",166.224999999999994,"996083089","996081786",,,,,,,,,,"996081786","996083089","0"
"86257292",Carlos Mondaca,residential,"0",132.277999999999992,"1001259138","1001259136",,,,,,,,,,"1001259136","1001259138","0"
"356069650",Juan Antonio Ríos,secondary,"0",21.196999999999999,"2346838197","1001259136",,,,,,,,,,"1001259136","2346838197","0"
"356069650",Juan Antonio Ríos,secondary,"0",81.738000000000000,"2346838244","1001259136",,,,,,,,,,"1001259136","2346838244","0"
"225517745",Baquedano,secondary,"0",75.924000000000007,"1001259599","1001259138",,,,,,,,,,"1001259138","1001259599","0"
"225517745",Baquedano,secondary,"0",19.071999999999999,"1001259610","1001259138",,,,,,,,,,"1001259138","1001259610","0"
"326763694",,service,"0",22.788000000000000,"3334283558","996081798",,parking_aisle,customers,,,,,,,"996081798","3334283558","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",60.601999999999997,"1503283293","996081798",,,,,,,,,,"996081798","1503283293","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",54.380000000000003,"1503283254","996081798",,,,,,,,,,"996081798","1503283254","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",56.040999999999997,"996081803","996081800",,,,,,,,,,"996081800","996081803","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",53.993000000000002,"1503283293","996081800",,,,,,,,,,"996081800","1503283293","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",21.140999999999998,"996081807","996081803",,,,,,,,,,"996081803","996081807","0"
"85808206",Calle Siete,residential,"0",205.674000000000007,"5421308645","996081807",,,,,,,,,,"996081807","5421308645","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",30.007000000000001,"996081810","996081807",,,,,,,,,,"996081807","996081810","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",58.765999999999998,"996081813","996081810",,,,,,,,,,"996081810","996081813","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",55.265999999999998,"996081814","996081813",,,,,,,,,,"996081813","996081814","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",57.534999999999997,"996081816","996081814",,,,,,,,,,"996081814","996081816","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",139.159999999999997,"996081817","996081816",,,,,,,,,,"996081816","996081817","0"
"85808197",Llanquihue,residential,"0",56.087000000000003,"1503233427","996081817",,,,,,,,,,"996081817","1503233427","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",24.027000000000001,"7071557300","996081817",,,,,,,,,,"996081817","7071557300","0"
"85808215",Parque Nacional Pan de Azúcar,tertiary,"0",45.067000000000000,"1503233328","996081818",,,,,,,,,,"996081818","1503233328","0"
"85808215",Parque Nacional Pan de Azúcar,tertiary,"0",45.506999999999998,"7071557313","996081818",,,,,,,,,,"996081818","7071557313","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",175.108999999999980,"996083772","996081818",,,,,,,,,,"996081818","996083772","0"
"373711758",Avenida Arturo Alessandri,secondary,"0",50.092999999999996,"996081041","996081818",,,,,,,,,,"996081818","996081041","0"
"225684358",25 de Agosto,residential,"0",60.729999999999997,"1001258832","1001259163","2",,,,,,,,,"1001259163","1001258832","0"
"356069652",Chorrillos,secondary,"0",95.425999999999988,"5456915302","1001259163","2",,,"80",,,,,,"1001259163","5456915302","0"
"356069652",Chorrillos,secondary,"0",101.205999999999989,"1001258873","1001259163","2",,,"80",,,,,,"1001259163","1001258873","0"
"225684358",25 de Agosto,residential,"0",93.927999999999997,"1001258865","1001259166","2",,,,,,,,,"1001259166","1001258865","0"
"225684358",25 de Agosto,residential,"0",96.201999999999998,"1001258832","1001259166","2",,,,,,,,,"1001259166","1001258832","0"
"225872650",Baquedano,residential,"0",99.846000000000004,"1001259181","1001259166",,,,,,,,,,"1001259166","1001259181","0"
"225872650",Baquedano,residential,"0",99.878000000000000,"1001258876","1001259166",,,,,,,,,,"1001259166","1001258876","0"
"225684358",25 de Agosto,residential,"0",26.564000000000000,"1001258865","1001259169","2",,,,,,,,,"1001259169","1001258865","0"
"225877701",25 de Mayo,secondary,"0",89.605000000000004,"1001258878","1001259169",,,,,"44",,,,,"1001259169","1001258878","0"
"225877701",25 de Mayo,secondary,"0",80.113000000000000,"5288220202","1001259169",,,,,"44",,,,,"1001259169","5288220202","0"
"601089885",,service,"0",31.087000000000000,"5713756327","5713756322",,parking_aisle,,,,,,,,"5713756322","5713756327","0"
"360326408",,service,"0",15.035000000000000,"5713756347","5713756324",,,,,,,,,,"5713756324","5713756347","0"
"360326408",,service,"0",16.524999999999999,"5713756329","5713756324",,,,,,,,,,"5713756324","5713756329","0"
"601089877",,service,"0",33.604999999999997,"5713756346","5713756324",,parking_aisle,,,,,,,,"5713756324","5713756346","0"
"601089888",,service,"0",15.558999999999999,"5713756334","5713756325",,parking_aisle,,,,,,,,"5713756325","5713756334","0"
"601089878",,service,"0",33.561999999999998,"5713756329","5713756326",,parking_aisle,,,,,,,,"5713756326","5713756329","0"
"601089876",,service,"0",14.843999999999999,"5713756338","5713756327",,,,,,,,,,"5713756327","5713756338","0"
"601089876",,service,"0",62.247000000000000,"5713756340","5713756327",,,,,,,,,,"5713756327","5713756340","0"
"[360326408, 751721602, 637598957]",,service,"0",238.613999999999976,"7027250214","5713756329",,,,,,,,,,"5713756329","7027250214","0"
"601089893",,service,"0",22.728000000000002,"5713756338","5713756331",,parking_aisle,,,,,,,,"5713756331","5713756338","0"
"[601089897, 360326405]",,service,"0",42.256999999999998,"5713756342","5713756333",,parking_aisle,,,,,,,,"5713756333","5713756342","0"
"601089876",,service,"0",16.645000000000000,"5713756019","5713756334",,,,,,,,,,"5713756334","5713756019","0"
"601089876",,service,"0",26.789999999999999,"5713756338","5713756334",,,,,,,,,,"5713756334","5713756338","0"
