y,x,osmid,highway,v_Input_FID
-29.975157500000002,-71.306582500000005,"2365728619",,"6"
-29.976029100000002,-71.305462300000002,"2365728625",,"6"
-29.976885400000000,-71.305563000000006,"2365728630",,"6"
-29.976616300000000,-71.305874900000006,"2365728623",,"6"
-29.974539600000000,-71.304951299999999,"2365728632",,"6"
-29.975843999999999,-71.305842400000003,"2365728634",,"6"
-29.977809400000002,-71.305660599999996,"2365728635",,"6"
-29.973744300000000,-71.302955200000000,"2365728637",,"6"
-29.976936599999998,-71.306056299999995,"2365728639",,"6"
-29.977592399999999,-71.305576599999995,"2365728644",,"6"
-29.974322500000000,-71.303903700000006,"2365728645",,"6"
-29.977511100000001,-71.305642399999996,"2365728649",,"6"
-29.975146599999999,-71.305861300000004,"2365728650",,"6"
-29.977198099999999,-71.305543400000005,"2365728653",,"6"
-29.970331099999999,-71.297400499999995,"3763480571",,"6"
-29.970576999999999,-71.297086899999996,"3763480600",,"6"
-29.971094399999998,-71.298817900000003,"3763480647",,"6"
-29.965722599999999,-71.299056199999995,"3651087339",,"6"
-29.965124899999999,-71.299193700000004,"3651087340",,"6"
-29.965578300000001,-71.298817499999998,"3651087341",,"6"
-29.971753700000001,-71.298800600000007,"3651087342",,"6"
-29.974004799999999,-71.297906299999994,"3651087350",,"6"
-29.973480700000000,-71.301319500000005,"2532984415",,"6"
-29.973936900000002,-71.302798699999997,"2532984423",,"6"
-29.974738899999998,-71.304056399999993,"2532984496",,"6"
-29.974759299999999,-71.303729000000004,"2532984497",,"6"
-29.972006700000001,-71.305375600000005,"5462443849",,"6"
-29.971907999999999,-71.304849500000003,"5462443856",,"6"
-29.976066299999999,-71.305798699999997,"2532984727",,"6"
-29.977838899999998,-71.305949999999996,"2532984789",,"6"
-29.972041200000000,-71.304882800000001,"5462444147",,"6"
-29.976772700000001,-71.309352500000003,"3774630189",,"6"
-29.976946699999999,-71.309041199999996,"3774630201",,"6"
-29.978178300000000,-71.310505699999993,"3774630332",,"6"
-29.978417000000000,-71.310630399999994,"3774630353",,"6"
-29.979587800000001,-71.310968799999998,"3774630452",,"6"
-29.965134899999999,-71.298086799999993,"5328555360",,"6"
-29.977162499999999,-71.298751699999997,"1070157363",,"6"
-29.974575399999999,-71.299357799999996,"1070157398",,"6"
-29.975315500000001,-71.300358900000006,"1070157406",,"6"
-29.975006400000002,-71.300195500000001,"1070157448",,"6"
-29.974816300000001,-71.298099800000003,"1070157455",,"6"
-29.975986400000000,-71.300156400000006,"1070157461",,"6"
-29.975243599999999,-71.298595300000002,"1070157501",,"6"
-29.977553400000001,-71.299207300000006,"1070157547",,"6"
-29.977348700000000,-71.299473899999995,"1070157603",,"6"
-29.976503399999999,-71.299196199999997,"1070157608",,"6"
-29.976215100000001,-71.300056499999997,"1070157628",,"6"
-29.975371599999999,-71.300846000000007,"1070157833",,"6"
-29.974834099999999,-71.299065799999994,"1070157840",,"6"
-29.975679700000001,-71.299091300000001,"1070157856",,"6"
-29.977457800000000,-71.298554999999993,"1070157996",,"6"
-29.975075300000000,-71.300519699999995,"1070158020",,"6"
-29.974375700000000,-71.299654799999999,"1070158021",,"6"
-29.974276100000001,-71.297685500000000,"1070158098",,"6"
